ts;raw;calc
2017.06.28 19:31:01:739;27.48;21.58
2017.06.28 19:31:02:865;27.48;21.58
2017.06.28 19:31:03:925;27.48;21.58
2017.06.28 19:31:05:012;27.48;21.57
2017.06.28 19:31:06:141;27.48;21.57
2017.06.28 19:31:07:269;27.48;21.57
2017.06.28 19:31:08:330;27.48;21.57
2017.06.28 19:31:09:416;27.48;21.57
2017.06.28 19:31:10:553;27.48;21.57
2017.06.28 19:31:11:672;27.48;21.57
2017.06.28 19:31:12:801;27.48;21.57
2017.06.28 19:31:13:932;27.48;21.57
2017.06.28 19:31:15:001;27.48;21.57
2017.06.28 19:31:16:071;27.48;21.57
2017.06.28 19:31:17:131;27.48;21.57
2017.06.28 19:31:18:225;27.48;21.57
2017.06.28 19:31:19:351;27.48;21.57
2017.06.28 19:31:20:413;27.48;21.57
2017.06.28 19:31:21:474;27.48;21.57
2017.06.28 19:31:22:613;27.48;21.57
2017.06.28 19:31:23:664;27.48;21.58
2017.06.28 19:31:24:720;27.48;21.58
2017.06.28 19:31:25:800;27.48;21.58
2017.06.28 19:31:26:959;27.48;21.58
2017.06.28 19:31:28:056;27.49;21.58
2017.06.28 19:31:29:116;27.49;21.58
2017.06.28 19:31:30:209;27.49;21.58
2017.06.28 19:31:31:333;27.49;21.58
2017.06.28 19:31:32:395;27.49;21.58
2017.06.28 19:31:33:480;27.49;21.58
2017.06.28 19:31:34:610;27.49;21.58
2017.06.28 19:31:35:670;27.49;21.58
2017.06.28 19:31:36:756;27.49;21.58
2017.06.28 19:31:37:885;27.49;21.58
2017.06.28 19:31:39:012;27.49;21.58
2017.06.28 19:31:40:074;27.49;21.58
2017.06.28 19:31:41:139;27.49;21.58
2017.06.28 19:31:42:206;27.49;21.58
2017.06.28 19:31:43:314;27.5;21.59
2017.06.28 19:31:44:375;27.5;21.59
2017.06.28 19:31:45:471;27.5;21.59
2017.06.28 19:31:46:590;27.5;21.59
2017.06.28 19:31:47:716;27.5;21.59
2017.06.28 19:31:48:846;27.51;21.59
2017.06.28 19:31:49:909;27.51;21.59
2017.06.28 19:31:50:990;27.51;21.6
2017.06.28 19:31:52:053;27.51;21.6
2017.06.28 19:31:53:114;27.51;21.6
2017.06.28 19:31:54:165;27.51;21.6
2017.06.28 19:31:55:294;27.51;21.6
2017.06.28 19:31:56:354;27.51;21.6
2017.06.28 19:31:57:442;27.51;21.6
2017.06.28 19:31:58:572;27.51;21.6
2017.06.28 19:31:59:698;27.51;21.6
2017.06.28 19:32:00:777;27.51;21.6
